Jersey,Player,Team,Player_ID
11,Lyla McKeage,RDP,2179
12,Marin Walton,RDP,2180
13,Maddy DeZutter,RDP,2181
14,Jailyn Stouffer,RDP,2182
15,Brooke Bergstrom,RDP,2183
16,Autumn Letwin,RDP,2184
1,Sarah Henriksen,SAIT,2185
3,Grace Florence,SAIT,2186
4,Liv Sladek,SAIT,2187
5,Arewyn Rae,SAIT,2188
6,Madison Dyck,SAIT,2189
7,Mia Delaquis,SAIT,2190
8,Lily Vandermolen,SAIT,2191
9,Avery Sande,SAIT,2192
10,Zenna Miller,SAIT,2193
11,Temi Bankole,SAIT,2194
13,Jocelyn Ruark,SAIT,2195
15,Sophia Ferguson,SAIT,2196
16,Crystal Webber,SAIT,2197
18,Mercedes Reinhart,SAIT,2198
1,Kadison McLeod,TKU,2199
2,Samantha Langdon,TKU,2200
3,Julie Doef,TKU,2201
4,Leah Aukema,TKU,2202
5,Lacey Saville,TKU,2203
6,Grace Reist,TKU,2204
7,Kate Hovius,TKU,2205
8,Katie Jonker,TKU,2206
9,Morgan Maclean,TKU,2207
10,Lilly Daviss,TKU,2208
11,Katie Hadwin,TKU,2209
12,Emma Scheerle,TKU,2210
13,Chenee Lehman,TKU,2211
14,Maya Brown,TKU,2212
15,Jensyn Brydon,TKU,2213
22,Emma Laybourne,TKU,2214
1,Brooke McBride,UAA,2215
2,Jette Fleming,UAA,2216
3,Azalea Haji,UAA,2217
4,Kayley Gerlinsky,UAA,2218
5,Phaedra Bruens,UAA,2219
6,Cassandra Klinger,UAA,2220
8,Andrea Breabans,UAA,2221
9,Keira Scharfenberg,UAA,2222
10,Hadley Ziemmer,UAA,2223
11,Taryn Watson,UAA,2224
12,Katelyn Hennessy,UAA,2225
14,Lainey Granley,UAA,2226
15,Sophie Krupp,UAA,2227
17,Grace Haws,UAA,2228
18,Tamara Mathison,UAA,2229
19,Abby Christensen,UAA,2230
20,Ella Jarret,UAA,2231
22,Mackenzie Greene,UAA,2232
